,0
0,Condo
1,SingleFamily
2,SingleFamily
3,SingleFamily
4,Condo
5,Cooperative
6,Condo
7,SingleFamily
8,Cooperative
9,SingleFamily
10,Condo
11,SingleFamily
12,MultiFamily
13,Condo
14,Apartment
15,Condo
16,SingleFamily
17,Cooperative
18,Condo
19,
20,Condo
21,
22,MultiFamily
23,MultiFamily
24,Cooperative
25,SingleFamily
26,MultiFamily
27,Cooperative
28,SingleFamily
29,MultiFamily
30,SingleFamily
31,Cooperative
32,Cooperative
33,SingleFamily
34,MultiFamily
35,Condo
36,Condo
37,SingleFamily
38,Cooperative
39,Cooperative
40,Cooperative
41,Condo
42,Cooperative
43,MultiFamily
44,SingleFamily
45,SingleFamily
46,MultiFamily
47,MultiFamily
48,MultiFamily
49,Condo
50,Condo
51,Condo
52,Cooperative
53,Cooperative
54,Cooperative
55,Cooperative
56,Condo
57,Cooperative
58,SingleFamily
59,MultiFamily
