,0
0,MultiFamily
1,Condo
2,Condo
3,MultiFamily
4,SingleFamily
5,SingleFamily
6,Cooperative
7,SingleFamily
8,Condo
9,Cooperative
10,Condo
11,Cooperative
12,Cooperative
13,Cooperative
14,Condo
15,SingleFamily
16,SingleFamily
17,SingleFamily
18,Condo
19,Condo
20,SingleFamily
21,MultiFamily
22,MultiFamily
23,Cooperative
24,MultiFamily
25,Condo
26,Cooperative
27,SingleFamily
28,Condo
29,Condo
30,MultiFamily
31,Cooperative
32,Cooperative
33,Condo
34,Cooperative
35,Cooperative
36,Condo
37,Condo
38,SingleFamily
39,SingleFamily
40,Cooperative
41,SingleFamily
42,Cooperative
43,MultiFamily
44,SingleFamily
45,Condo
46,Cooperative
47,MultiFamily
48,SingleFamily
49,Cooperative
50,
51,Cooperative
52,Cooperative
53,Cooperative
54,Condo
55,Apartment
56,Condo
57,SingleFamily
58,Cooperative
59,Condo
