,0
0,"-Ps 108 Assemblyman Angelo Del Toro Educational Com,-Central Park East High School,"
1,"-Ps 191 Amsterdam,-Fiorello H Laguardia High School of Music, Art and Performing Arts,"
2,"-Ps 24 Spuyten Duyvil,-Riverdale Kingsbridge Academy (Ms High School 141),"
3,"-P.S. 41 Greenwich Village,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
4,"-Ps 129 Patricia Larkin,-Jhs 194 William Carr,-Flushing High School,"
5,"-Ps 41 Francis White,-Eagle Academy for Young Men II,"
6,"-Ps 308 Clara Cardwell,-Boys and Girls High School,"
7,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
8,"-Ps 234 Independence School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
9,"-Ps 134,-Jhs 78 Roy H Mann,-James Madison High School,"
10,"-Ps 100 The Coney Island School,-Is 303 Herbert S Eisenberg,-Abraham Lincoln High School,"
11,"-Ps 219 Paul Klapper,-John Bowne High School,"
12,"-Ps 308 Clara Cardwell,-Boys and Girls High School,"
13,"-Special Music School,"
14,"-Ps 6 Lillie D Blake,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
15,"-Ps 19 Judith K Weiss,-New World High School,"
16,"-P.S. 261 Philip Livingston,-School For International Studies,"
17,"-Ps 32 Samuels Mills Sprole,-New Horizons School,-Cobble Hill School of American Studies,"
18,"-Ps 11 Thomas Dongan School,-Is 2 George L Egbert,-New Dorp High School,"
19,NA
20,"-Ps 87 William Sherman,-Special Music School,"
21,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
22,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
23,"-Ps 124 Osmond A Church,-Jhs 226 Virgil I Grisson,-John Adams High School,"
24,"-Ps 133,-Irwin Altman Middle School 172,-Martin Van Buren High School,"
25,"-Ps 140 Edward K Ellington,-Jhs 8 Richard S Grossley,-High School for Law Enforcement and Public Safety,"
26,"-New Bridges Elementary School,-New Heights Middle School,-Pathways Tech Early College High School,"
27,"-Spruce Street School,-Nyc Lab High School For Collaborative Studies,"
28,"-Ps 242 The Young Diplomats Magnet School,-Wadleigh Secondary School for the Performing and Visual Arts,"
29,"-Ps 165 Robert E Simon,-Edward A Reynolds West Side High School,"
30,"-Ps 130 Hernando De Soto,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
31,"-Ps 244 Richard R Green,-Is 285 Meyer Levin,-Kurt Hahn Expeditionary Learning School,"
32,"-Ps 289 George V Brower,-Ps 138,-Academy for Health Careers,"
33,"-Ps Is 104 The Fort Hamilton School,-Fort Hamilton High School,"
34,"-Ps 196 Grand Central Parkway,-Jhs 157 Stephen A Halsey,-Forest Hills High School,"
35,"-Ps 191 Amsterdam,-High School for Law, Advocacy and Community Justice,"
36,"-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
37,"-Ps 212,-Is 230,-William Cullen Bryant High School,"
38,"-Ps 165 Edith K Bergtraum,-I.S. 250 the Robert F Kennedy Community Middle School,-John Bowne High School,"
39,"-Ps 117 J Keld Briarwood School,-Jhs 217 Robert A Van Wyck,-Hillcrest High School,"
40,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,"
41,"-Ps 106 Edward Everett Hale,-Is 349 Math Science And Technology,-Bushwick Community High School,"
42,"-Ps 87 William Sherman,-Ms 245 The Computer School,-Innovation Diploma Plus,"
43,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
44,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
45,"-Ps 15 Roberto Clemente,-East Side Community School,"
46,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
47,"-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
48,"-Ps 11 William T Harris,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
49,"-Ps 33 Chelsea Prep,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
50,"-Stem Institute Of Manhattan,-Ps 76 A Phillip Randolph,-Wadleigh Secondary School for the Performing and Visual Arts,"
51,"-Ps 18 Park Terrace,-Jhs 52 Inwood,-INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,"
52,"-P.S. 34 Oliver H Perry,-John Ericsson Middle School 126,-Automotive High School,"
53,"-Ps 87 William Sherman,-Special Music School,"
54,"-Ps 11 William T Harris,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
55,"-Ps 117 J Keld Briarwood School,-Jhs 217 Robert A Van Wyck,-Hillcrest High School,"
56,"-Cynthia Jenkins School,-Collaborative Arts Middle School,-Excelsior Preparatorty High School,"
57,"-Ps 186 Castlewood,-Irwin Altman Middle School 172,-Martin Van Buren High School,"
58,"-Ps 131 Abigail Adams,-Is 238 Susan B Anthony,-Cambria Heights Academy,"
59,"-Ps 22 Thomas Jefferson,-Jhs 189 Daniel Carter Beard,-Flushing High School,"
