,0
0,$605/mo
1,$876/mo
2,$608/mo
3,
4,$629/mo
5,$289/mo
6,"$1,357/mo"
7,"$1,033/mo"
8,$509/mo
9,$244/mo
10,$101/mo
11,$698/mo
12,$586/mo
13,"$8,800/mo"
14,"$1,147/mo"
15,$138/mo
16,"$1,247/mo"
17,$216/mo
18,"$3,410/mo"
19,$216/mo
20,"$1,099/mo"
21,$343/mo
22,$290/mo
23,
24,$587/mo
25,$515/mo
26,$363/mo
27,"$1,015/mo"
28,$909/mo
29,$550/mo
30,$230/mo
31,$690/mo
32,$939/mo
33,
34,$601/mo
35,$623/mo
36,$186/mo
37,$730/mo
38,$238/mo
39,$356/mo
40,$413/mo
41,$484/mo
42,$476/mo
43,$433/mo
44,$476/mo
45,$374/mo
46,$198/mo
47,$609/mo
48,$487/mo
49,"$2,029/mo"
50,$422/mo
51,$192/mo
52,$596/mo
53,$194/mo
54,$733/mo
55,"$1,797/mo"
56,$392/mo
57,"$1,540/mo"
58,$441/mo
59,
