,0
0,$420/mo
1,$210/mo
2,$245/mo
3,$278/mo
4,$227/mo
5,$114/mo
6,$143/mo
7,$385/mo
8,$210/mo
9,$255/mo
10,
11,$507/mo
12,$543/mo
13,$401/mo
14,$753/mo
15,$269/mo
16,$290/mo
17,$119/mo
18,$121/mo
19,$150/mo
20,$188/mo
21,$52/mo
22,$663/mo
23,$500/mo
24,$359/mo
25,$290/mo
26,$332/mo
27,$210/mo
28,$280/mo
29,$516/mo
30,$227/mo
31,$119/mo
32,$91/mo
33,$376/mo
34,$500/mo
35,$420/mo
36,$121/mo
37,$683/mo
38,$70/mo
39,$84/mo
40,$84/mo
41,$179/mo
42,$112/mo
43,$308/mo
44,$325/mo
45,$266/mo
46,$553/mo
47,
48,$612/mo
49,$340/mo
50,$333/mo
51,$768/mo
52,$243/mo
53,$385/mo
54,"$1,365/mo"
55,$735/mo
56,$201/mo
57,$82/mo
58,$175/mo
59,
