,0
0,$535/mo
1,$604/mo
2,"$2,098/mo"
3,$528/mo
4,$301/mo
5,$140/mo
6,$105/mo
7,$158/mo
8,$243/mo
9,$184/mo
10,"$2,905/mo"
11,$383/mo
12,$683/mo
13,$245/mo
14,$928/mo
15,$161/mo
16,$586/mo
17,$217/mo
18,$110/mo
19,$70/mo
20,$210/mo
21,$240/mo
22,$273/mo
23,$131/mo
24,$473/mo
25,$520/mo
26,$140/mo
27,$279/mo
28,"$1,138/mo"
29,$838/mo
30,"$1,785/mo"
31,$122/mo
32,$112/mo
33,"$2,520/mo"
34,$154/mo
35,$87/mo
36,$306/mo
37,$280/mo
38,$210/mo
39,
40,$105/mo
41,$135/mo
42,$66/mo
43,$140/mo
44,$278/mo
45,$81/mo
46,$240/mo
47,$455/mo
48,$623/mo
49,$114/mo
50,"$3,850/mo"
51,$227/mo
52,$112/mo
53,$438/mo
54,"$1,049/mo"
55,$187/mo
56,$210/mo
57,$193/mo
58,$112/mo
59,"$2,100/mo"
