,0
0,$112/mo
1,$201/mo
2,$49/mo
3,$464/mo
4,$144/mo
5,$192/mo
6,$346/mo
7,$297/mo
8,$287/mo
9,$198/mo
10,$192/mo
11,$385/mo
12,$112/mo
13,
14,$313/mo
15,$341/mo
16,$298/mo
17,$115/mo
18,$339/mo
19,"$1,470/mo"
20,$453/mo
21,$873/mo
22,$525/mo
23,$120/mo
24,$105/mo
25,$171/mo
26,$525/mo
27,$231/mo
28,$231/mo
29,$263/mo
30,$60/mo
31,$329/mo
32,
33,"$1,383/mo"
34,"$5,145/mo"
35,$103/mo
36,$289/mo
37,$280/mo
38,$595/mo
39,$411/mo
40,$131/mo
41,$411/mo
42,$82/mo
43,
44,$149/mo
45,$420/mo
46,$304/mo
47,$683/mo
48,
49,$147/mo
50,
51,$226/mo
52,$245/mo
53,$349/mo
54,$420/mo
55,
56,"$2,098/mo"
57,$420/mo
58,$613/mo
59,$418/mo
