,0
0,$44/mo
1,"$1,358/mo"
2,$341/mo
3,$172/mo
4,"$1,575/mo"
5,"$2,139/mo"
6,$368/mo
7,$280/mo
8,$301/mo
9,$326/mo
10,$481/mo
11,$210/mo
12,$124/mo
13,$65/mo
14,$133/mo
15,$112/mo
16,$313/mo
17,"$2,975/mo"
18,$420/mo
19,$105/mo
20,$210/mo
21,"$3,036/mo"
22,$578/mo
23,$348/mo
24,
25,$873/mo
26,$403/mo
27,"$1,120/mo"
28,$508/mo
29,$208/mo
30,$280/mo
31,$959/mo
32,$595/mo
33,$271/mo
34,$210/mo
35,"$1,223/mo"
36,$95/mo
37,$385/mo
38,$94/mo
39,$171/mo
40,$149/mo
41,$508/mo
42,$187/mo
43,$315/mo
44,"$1,908/mo"
45,$130/mo
46,$227/mo
47,$495/mo
48,$304/mo
49,$262/mo
50,$700/mo
51,
52,$360/mo
53,$823/mo
54,$291/mo
55,"$6,300/mo"
56,$814/mo
57,$228/mo
58,$228/mo
59,$814/mo
