,0
0,Private
1,0 spaces
2,"No Garage, Carport, On Street"
3,"Private, Attached"
4,"Built-in, Assigned"
5,0 spaces
6,0 spaces
7,0 spaces
8,Garage - Detached
9,0 spaces
10,0 spaces
11,0 spaces
12,0 spaces
13,"Garage, Garage - Attached"
14,0 spaces
15,Off-street
16,0 spaces
17,0 spaces
18,0 spaces
19,Garage - Attached
20,Covered
21,0 spaces
22,Garage - Attached
23,0 spaces
24,0 spaces
25,0 spaces
26,Waitlist
27,Garage
28,0 spaces
29,0 spaces
30,"Built-in, Assigned"
31,Waitlist
32,"Garage, Waitlist"
33,"None, On Street"
34,"Shared Driveway, Detached"
35,"Built-in, Garage, Carport, Off Street, On Street, Garage Door Opener"
36,0 spaces
37,0 spaces
38,0 spaces
39,0 spaces
