,0
675,NA
676,1100
677,954
678,420
679,605018
680,1000
681,4193
682,750
683,2280
684,1012
685,779
686,NA
687,NA
688,NA
689,NA
690,15880
691,1100
692,NA
693,1200
694,1760
695,1720
696,720
697,600
698,1721
699,2400
700,2705
701,2020
702,1240
703,2080
704,613
705,3026
706,NA
707,NA
708,NA
709,3430
710,NA
711,2235
712,NA
713,2200
714,753
715,NA
716,900
717,520
718,579
719,1280
720,517
721,3980
722,5551
723,1672
724,NA
725,1360
726,NA
727,2500
728,1312
729,750
730,818
731,1900
732,878
733,2000
734,1100
735,828
736,121313
737,8850
738,NA
739,1800
740,2300
741,584
742,1540
743,1016
744,NA
745,NA
746,850
747,NA
748,NA
749,1521
750,3189
751,700
752,1537
753,NA
754,1638
755,3043
756,2039
757,1000
758,2000
759,4085
760,706
761,710
762,2054
763,3250
764,2382
765,1756
766,NA
767,1564
768,801
769,NA
770,1800
771,1800
772,750
773,NA
774,2838
775,3984
776,850
777,NA
778,1216
779,1260
780,1936
781,1205
782,NA
783,NA
784,NA
785,NA
786,2200
787,NA
788,NA
789,783
790,450
791,1422
792,850
793,1912
794,NA
795,3585
796,NA
