,0
0,"0.8,0.9,"
1,"0.5,0.1,"
2,"0.2,0.3,"
3,"0.7,0.4,0.3,"
4,"0.4,0.5,0.4,"
5,"0.5,0.6,0.3,"
6,"0.6,0.6,0.4,"
7,"0.9,0.3,"
8,"0.2,0.5,0.4,"
9,"0.2,0.3,0.3,"
10,"0.7,0.9,0.5,"
11,NA
12,"0.8,0.7,0.2,"
13,"0.3,0.7,0.1,"
14,"0.3,0.7,0.3,"
15,"0.8,0.9,0.5,"
16,"0.4,0.4,0.3,"
17,"0.6,0.4,0.4,"
18,"0.6,0.4,0.4,"
19,"0.8,0.3,0.9,"
20,"0.4,0.7,0.3,"
21,"0.2,0.6,0.1,"
22,"0.6,0.5,0.2,"
23,"0.4,0.3,0.4,"
24,"0.4,0.3,"
25,"0.1,0.8,0.3,"
26,"0.8,0.9,"
27,"0.2,0.5,0.1,"
28,"0.4,0.7,"
29,"0.6,1.0,0.3,"
30,"0.4,0.7,"
31,"0.4,0.7,"
32,
33,"0.9,0.3,0.9,"
34,"0.7,0.4,0.2,"
35,"0.9,0.3,0.9,"
36,"0.6,0.4,0.3,"
37,"0.9,1.0,0.6,"
38,"0.5,0.6,0.3,"
39,"0.5,0.6,0.4,"
40,NA
41,"0.5,0.6,0.2,"
42,"0.7,0.4,"
43,"0.8,0.6,"
44,"0.9,1.0,0.3,"
45,"0.7,0.4,"
46,"1.0,0.3,0.9,"
47,"0.7,0.3,0.9,"
48,"0.7,0.3,0.9,"
49,"0.4,0.7,0.3,"
50,"1.0,0.6,0.9,"
51,"0.4,0.2,"
52,"0.4,0.2,"
53,"0.4,0.2,"
54,NA
55,"0.7,0.7,0.4,"
56,"0.5,0.1,"
57,"0.5,0.6,0.9,"
58,"0.7,0.4,0.3,"
59,"0.8,0.7,0.4,"
