,0
0,"0.4,0.5,0.2,"
1,"0.9,0.6,0.2,"
2,"0.8,0.7,0.4,"
3,"0.9,0.4,"
4,"0.7,0.3,0.3,"
5,"0.8,0.6,"
6,"0.9,0.6,0.9,"
7,"0.7,0.3,0.9,"
8,"0.7,0.3,0.9,"
9,"1.0,0.3,0.9,"
10,"0.9,0.6,0.9,"
11,"1.0,0.3,0.9,"
12,"0.9,0.3,0.9,"
13,"0.7,1.0,0.4,"
14,"0.9,0.7,0.4,"
15,"0.9,0.6,0.4,"
16,"1.0,0.3,0.9,"
17,"0.9,1.0,0.3,"
18,"0.9,0.3,0.9,"
19,"0.9,0.3,0.9,"
20,"0.8,0.3,0.9,"
21,"0.6,0.6,0.9,"
22,"0.7,0.3,0.9,"
23,"0.9,1.0,0.3,"
24,"0.6,0.3,0.9,"
25,"0.9,0.3,0.9,"
26,"0.6,0.3,"
27,"0.7,0.9,0.5,"
28,"0.8,0.9,0.2,"
29,"0.7,0.9,0.5,"
30,"0.8,0.7,0.4,"
31,"0.7,0.4,"
32,"0.7,0.3,0.4,"
33,"0.7,0.8,"
34,"0.8,0.3,"
35,"0.7,0.6,0.4,"
36,"1.0,0.9,"
37,"1.0,0.6,0.3,"
38,"0.6,0.3,0.9,"
39,"0.7,0.8,0.3,"
