,0
0,"1.0,0.3,0.9,"
1,"0.7,0.9,0.3,"
2,"0.7,0.6,0.9,"
3,"0.4,0.2,0.2,"
4,"0.6,0.2,"
5,"0.3,0.7,"
6,"0.8,0.7,0.6,"
7,"0.5,0.7,0.2,"
8,"0.5,0.4,"
9,"0.8,0.4,"
10,"0.3,0.9,"
11,"1.0,0.9,0.4,"
12,"1.0,0.3,0.9,"
13,"0.6,0.3,0.9,"
14,"0.7,0.3,0.9,"
15,"0.8,0.3,0.9,"
16,"1.0,0.3,0.9,"
17,"1.0,0.3,0.9,"
18,"0.7,0.6,0.2,"
19,"0.4,0.6,"
20,"0.6,0.4,0.3,"
21,"0.6,1.0,0.5,"
22,"0.7,0.8,0.4,"
23,"0.5,0.8,0.3,"
24,"0.9,0.9,0.3,"
25,"0.9,0.3,"
26,"0.6,0.3,0.9,"
27,"0.4,0.6,"
28,"0.3,0.6,0.3,"
29,"0.9,0.3,0.9,"
30,"1.0,0.3,0.9,"
31,"0.8,0.6,0.4,"
32,"0.3,0.6,0.3,"
33,"0.6,0.4,"
34,"0.3,0.7,0.1,"
35,"0.9,0.9,0.3,"
36,"0.5,0.7,"
37,"0.7,0.9,0.1,"
38,"0.4,0.4,0.3,"
39,"0.7,1.0,0.5,"
40,"0.9,"
41,"0.7,0.7,0.2,"
42,"1.0,0.3,0.9,"
43,"0.9,0.9,0.3,"
44,"0.7,0.7,0.2,"
45,"0.7,0.5,0.4,"
46,"0.9,"
47,"1.0,0.9,0.4,"
48,"0.8,0.4,"
49,"0.5,0.6,0.9,"
50,"0.8,1.0,0.3,"
51,"0.7,0.2,"
52,"0.6,0.5,0.2,"
53,"0.5,0.7,0.2,"
54,"0.5,0.3,"
55,"1.0,0.5,"
56,"0.2,0.5,0.2,"
57,"0.9,0.7,0.4,"
58,"0.7,0.6,0.9,"
59,"0.6,0.6,0.9,"
