,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
176,575000,1,1,530,"161 W 71st St APT 3A, New York, NY 10023",https://www.zillow.com/homedetails/161-W-71st-St-APT-3A-New-York-NY-10023/31521564_zpid/,Condo,1900,0 spaces,No Data,$450 monthly,"$1,085 ","$1,956/mo",$0/mo,$422/mo,$201/mo,"-Special Music School,","0.9,"
177,235000,1,1,550,"19522A 39th Ave #A, Flushing, NY 11358",https://www.zillow.com/homedetails/19522A-39th-Ave-A-Flushing-NY-11358/2073807535_zpid/,Cooperative,No Data,0 spaces,No Data,$582 monthly,$427 ,$916/mo,$0/mo,$165/mo,$82/mo,"-Ps 32 State Street,-World Journalism Preparatory  A College Board School,","0.7,0.6,"
178,499900,3,3,1196,"40 Fort Hill Cir, Staten Island, NY 10301",https://www.zillow.com/homedetails/40-Fort-Hill-Cir-Staten-Island-NY-10301/32270901_zpid/,SingleFamily,1960,"Built-in, Garage, Off Street","Hot Water, Natural Gas","3,612 sqft",$418 ,"$1,820/mo",$0/mo,$362/mo,$175/mo,"-Ps 16 John J Driscoll,-Is 61 William A Morris,-Curtis High School,","0.2,0.5,0.3,"
179,649000,3,3,1422,"795 Rossville Ave, Staten Island, NY 10309",https://www.zillow.com/homedetails/795-Rossville-Ave-Staten-Island-NY-10309/62711191_zpid/,MultiFamily,2001,"No Garage, Off Street","Forced Air, Natural Gas",$456 ,,,,,,"-Ps 56 The Louis Desario School,-Is 34 Tottenville,-Tottenville High School,","0.6,1.0,0.5,"
180,318888,3,1,784,"36 Winant St, Staten Island, NY 10303",https://www.zillow.com/homedetails/36-Winant-St-Staten-Island-NY-10303/32298573_zpid/,SingleFamily,1920,"Detached, Garage, Off Street, On Street","Steam, Natural Gas",37.42 sqft,$407 ,"$1,161/mo",$0/mo,$231/mo,$112/mo,"-Ps 22 Graniteville,-Is 51 Edwin Markham,-Port Richmond High School,","0.5,0.4,0.2,"
181,575000,3,3,1344,"387 E 91st St, Brooklyn, NY 11212",https://www.zillow.com/homedetails/387-E-91st-St-Brooklyn-NY-11212/30652574_zpid/,SingleFamily,1920,Driveway,"Natural Gas, Radiant",0.05 Acres,$428 ,"$1,956/mo",$0/mo,$311/mo,$201/mo,"-Ps 219 Kennedy King,-Middle School For Art And Philosphy,-East Brooklyn Community High School,","0.3,0.7,0.1,"
182,140000,1,1,800,"2199 Holland Ave APT 1L, Bronx, NY 10462",https://www.zillow.com/homedetails/2199-Holland-Ave-APT-1L-Bronx-NY-10462/244447113_zpid/,Cooperative,1930,None,"Oil, Steam",$847 monthly,$175 ,$545/mo,$0/mo,$111/mo,$49/mo,"-Ps 105 Senator Abraham Bernstein,-Bronx Green Middle School,-Bronx High School For The Visual Arts,","0.3,0.6,0.3,"
183,1325000,6,6,3000,"83-27 262nd St, Glen Oaks, NY 11004",https://www.zillow.com/homedetails/83-27-262nd-St-Glen-Oaks-NY-11004/2073807654_zpid/,SingleFamily,2016,"Private, Detached",Natural Gas,0.14 Acres,$442 ,"$4,492/mo",$0/mo,$928/mo,$464/mo,"-Ps 191 Mayflower,-Irwin Altman Middle School 172,-Martin Van Buren High School,","0.8,0.8,0.3,"
184,410000,2,1,600,"23 Bogardus St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/23-Bogardus-St-Brooklyn-NY-11235/30792698_zpid/,SingleFamily,1925,0 spaces,No Data,847 sqft,$683 ,"$1,493/mo",$0/mo,$222/mo,$144/mo,"-Ps 52 Sheepshead Bay,-Jhs 14 Shell Bank,-Leon M Goldstein High School For The Sciences,","0.6,0.7,0.8,"
185,549000,1,1,1200,"40 Brighton 1st Rd FLOOR 8 O, Brooklyn, NY 11235",https://www.zillow.com/homedetails/40-Brighton-1st-Rd-FLOOR-8-O-Brooklyn-NY-11235/2078391376_zpid/,Cooperative,1963,Covered,No Data,"$1,100 monthly",$458 ,"$1,999/mo",$0/mo,$297/mo,$192/mo,"-Ps 225 The Eileen E Zaglin,-Abraham Lincoln High School,","0.7,0.4,"
186,988000,4,3,NA,"2631 202nd St, Flushing, NY 11360",https://www.zillow.com/homedetails/2631-202nd-St-Flushing-NY-11360/32057682_zpid/,SingleFamily,1945,"Private, Detached, Driveway",Oil,0.11 Acres,,"$3,349/mo",$0/mo,$692/mo,$346/mo,"-Ps 159,-Ms 158 Marie Curie,-Bayside High School,","0.8,0.7,0.6,"
187,848000,5,3,NA,"103-11 103rd Ave, Ozone Park, NY 11417",https://www.zillow.com/homedetails/103-11-103rd-Ave-Ozone-Park-NY-11417/2073808955_zpid/,MultiFamily,1950,"Private, Attached","Natural Gas, Baseboard",,,"$2,884/mo",$0/mo,$594/mo,$297/mo,"-Ps 65 The Raymond York Elementary School,-Jhs 202 Robert H Goddard,-John Adams High School,","0.5,0.6,0.3,"
188,819000,3,2,1968,"45 Ocean Rd, Staten Island, NY 10308",https://www.zillow.com/homedetails/45-Ocean-Rd-Staten-Island-NY-10308/32346015_zpid/,MultiFamily,1980,"Built-in, Garage, Off Street","Forced Air, Natural Gas",$416 ,,"$2,786/mo",$0/mo,$594/mo,$287/mo,"-Ps 8 Shirlee Solomon,-Is 24 Myra S Barnes,-New Dorp High School,","0.7,0.6,0.4,"
189,564900,1,1,800,"333 4th St APT 1I, Brooklyn, NY 11215",https://www.zillow.com/homedetails/333-4th-St-APT-1I-Brooklyn-NY-11215/113412787_zpid/,Cooperative,1931,"None, Covered",No Data,$658 monthly,$706 ,"$2,056/mo",$0/mo,$306/mo,$198/mo,"-Ps 321 William Penn,-Ms 51 William Alexander,-Secondary School For Law,","1.0,0.8,0.4,"
190,549000,2,2,NA,"3935 Blackstone Ave APT 9F, Bronx, NY 10471",https://www.zillow.com/homedetails/3935-Blackstone-Ave-APT-9F-Bronx-NY-10471/215957026_zpid/,Cooperative,1960,0 spaces,No Data,"$1,681 monthly",,"$1,999/mo",$0/mo,$435/mo,$192/mo,"-Ps 24 Spuyten Duyvil,-Riverdale Kingsbridge Academy (Ms High School 141),","1.0,0.5,"
191,1100000,8,5,2966,"2803 Bragg St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2803-Bragg-St-Brooklyn-NY-11235/30792599_zpid/,MultiFamily,No Data,"Private Drive, 4 Spaces, Built-In Garage","Natural Gas, Steam/Radiator",$371 ,,"$3,729/mo",$0/mo,$596/mo,$385/mo,,
192,319000,1,1,NA,"143-50 Barclay Ave APT 5B, Flushing, NY 11355",https://www.zillow.com/homedetails/143-50-Barclay-Ave-APT-5B-Flushing-NY-11355/87800796_zpid/,Cooperative,1987,"Assigned, Garage","Electric, See Remarks",$825 monthly,,"$1,161/mo",$0/mo,$223/mo,$112/mo,"-Ps 20 John Bowne,-Jhs 189 Daniel Carter Beard,-John Bowne High School,","0.9,0.6,0.3,"
193,600000,3,1,NA,"116-32 141st St, Jamaica, NY 11436",https://www.zillow.com/homedetails/116-32-141st-St-Jamaica-NY-11436/2073809450_zpid/,SingleFamily,1930,"Shared Driveway, Detached","Natural Gas, Hot Water",,,$2161/mo,$0/mo,$420/mo,$210/mo,"-Ps 123,-Jhs 226 Virgil I Grisson,-John Adams High School,","0.4,0.4,0.3,"
194,895000,4,3,1525,"7120 165th St, Flushing, NY 11365",https://www.zillow.com/homedetails/7120-165th-St-Flushing-NY-11365/32075051_zpid/,SingleFamily,1930,"Private, Detached, Driveway",No Data,0.09 Acres,$587 ,"$3,044/mo",$0/mo,$627/mo,$313/mo,"-Ps 154,-I.S. 250 the Robert F Kennedy Community Middle School,-Queens School Of Inquiry,","0.6,0.7,0.4,"
195,975000,1,1,814,"21-45 44th Dr #5K, Long Island City, NY 11101",https://www.zillow.com/homedetails/21-45-44th-Dr-5K-Long-Island-City-NY-11101/2073809915_zpid/,Condo,2010,0 spaces,No Data,$898 monthly,"$1,198 ","$3,305/mo",$0/mo,$683/mo,$341/mo,"-P.S. 78,-Long Island City High School,","0.9,0.3,"
196,850000,1,1,715,"166 W 22nd St APT 1C, New York, NY 10011",https://www.zillow.com/homedetails/166-W-22nd-St-APT-1C-New-York-NY-10011/123979891_zpid/,Cooperative,1939,0 spaces,No Data,"$1,547 monthly","$1,189 ","$2,891/mo",$0/mo,$623/mo,$298/mo,"-Ps 11 William T Harris,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.7,0.6,0.9,"
197,329999,2,2,1000,"131-11 Kew Gardens Rd #5A, Richmond Hill, NY 11418",https://www.zillow.com/homedetails/131-11-Kew-Gardens-Rd-5A-Richmond-Hill-NY-11418/219881794_zpid/,Cooperative,1960,Garage,"Natural Gas, Steam","$1,114 monthly",$330 ,"$1,201/mo",$0/mo,$231/mo,$115/mo,,
198,969000,7,2,NA,"14 Norwood Ave, Brooklyn, NY 11208",https://www.zillow.com/homedetails/14-Norwood-Ave-Brooklyn-NY-11208/30636787_zpid/,MultiFamily,1910,None,Natural Gas,,,"$3,285/mo",$0/mo,$525/mo,$339/mo,"-Ps 108 Sal Abbracciamento,-Is 171 Abraham Lincoln,-Transit Tech Career and Technical Education High School,","0.9,0.5,0.2,"
199,4200000,2,3,1880,"260 Park Ave S APT 2B, New York, NY 10010",https://www.zillow.com/homedetails/260-Park-Ave-S-APT-2B-New-York-NY-10010/80002852_zpid/,Condo,1913,None,No Data,"$2,346 monthly","$2,234 ","$14,238/mo",$0/mo,"$3,080/mo","$1,470/mo","-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
200,1295000,1,1,1200,"350 W 57th St APT 7D, New York, NY 10019",https://www.zillow.com/homedetails/350-W-57th-St-APT-7D-New-York-NY-10019/31515300_zpid/,Condo,1929,None,No Data,"$1,830 monthly","$1,079 ","$4,390/mo",$0/mo,$950/mo,$453/mo,"-Ps 111 Adolph S Ochs,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.6,0.3,0.9,"
201,2495000,2,2,1200,"781 5th Ave APT 1911, New York, NY 10022",https://www.zillow.com/homedetails/781-5th-Ave-APT-1911-New-York-NY-10022/79524276_zpid/,Cooperative,1928,"Garage - Attached, Covered",No Data,"$13,525 monthly","$2,079 ","$8,458/mo",$0/mo,"$1,830/mo",$873/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
202,1499000,3,3,NA,"138-39 11th Ave, Whitestone, NY 11357",https://www.zillow.com/homedetails/138-39-11th-Ave-Whitestone-NY-11357/2077815320_zpid/,SingleFamily,1965,"Private, Attached",No Data,0.14 Acres,$744 ,"$5,082/mo",$0/mo,"$1,049/mo",$525/mo,"-Ps 79 Francis Lewis,-Jhs 194 William Carr,-Flushing High School,","0.9,0.7,0.2,"
203,342000,2,1,800,"217-05 75th Ave #355A1, Oakland Gardens, NY 11364",https://www.zillow.com/homedetails/217-05-75th-Ave-355A1-Oakland-Gardens-NY-11364/119911799_zpid/,Cooperative,1952,Covered,No Data,$863 monthly,$428 ,"$1,245/mo",$0/mo,$239/mo,$120/mo,"-Ps 205 Alexander Graham Bell,-Jhs 74 Nathaniel Hawthorne,-Benjamin N Cardozo High School,","1.0,0.8,0.5,"
204,299000,1,1,NA,"37-26 87th St #1E, Jackson Heights, NY 11372",https://www.zillow.com/homedetails/37-26-87th-St-1E-Jackson-Heights-NY-11372/2073814151_zpid/,Cooperative,1950,Waitlist,"Natural Gas, Steam",$720 monthly,,"$1,088/mo",$0/mo,$209/mo,$105/mo,"-Ps 89 Elmhurst,-Is 73 The Frank Sansivieri Intermediate School,-Newtown High School,","0.7,0.9,0.3,"
205,489900,2,2,1385,"74 Eunice Pl, Staten Island, NY 10303",https://www.zillow.com/homedetails/74-Eunice-Pl-Staten-Island-NY-10303/32307329_zpid/,Condo,1996,"Built-in, Garage, Carport","Forced Air, Natural Gas",$50 monthly,$354 ,"$1,783/mo",$0/mo,$355/mo,$171/mo,"-Ps 22 Graniteville,-Is 51 Edwin Markham,-Port Richmond High School,","0.5,0.4,0.2,"
206,1499000,8,4,3000,"5430 Arnold Ave, Flushing, NY 11378",https://www.zillow.com/homedetails/5430-Arnold-Ave-Flushing-NY-11378/31985788_zpid/,MultiFamily,1915,None,"Natural Gas, Baseboard",$500 ,,"$5,082/mo",$0/mo,"$1,049/mo",$525/mo,"-Ps 71 Forest,-Is 93 Ridgewood,-Grover Cleveland H.S.,","0.5,0.7,0.3,"
207,660000,3,2,1285,"1405 Royce St APT 3, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1405-Royce-St-APT-3-Brooklyn-NY-11234/2073817707_zpid/,Condo,No Data,0 spaces,No Data,$278 monthly,$514 ,"$2,245/mo",$0/mo,$358/mo,$231/mo,"-Ps 312 Bergen Beach,-Jhs 78 Roy H Mann,-James Madison High School,","0.6,0.5,0.4,"
208,660000,3,2,1174,"2720 86th St APT 2C, Brooklyn, NY 11223",https://www.zillow.com/homedetails/2720-86th-St-APT-2C-Brooklyn-NY-11223/112080887_zpid/,Apartment,2007,0 spaces,No Data,$284 monthly,$562 ,"$2,245/mo",$0/mo,$358/mo,$231/mo,"-Ps 212 Lady Deborah Moody,-Is 228 David A Boody,-Life Academy High School For Film And Music,","0.7,0.8,0.4,"
209,750000,3,3,1200,"88-50 207th St, Queens Village, NY 11427",https://www.zillow.com/homedetails/88-50-207th-St-Queens-Village-NY-11427/2073817979_zpid/,MultiFamily,1940,"Shared Driveway, Detached","Natural Gas, Hot Water",$625 ,,"$2,551/mo",$0/mo,$525/mo,$263/mo,"-The Bellaire School,-Jean Nuzzi Intermediate School,-Cambria Heights Academy,","0.6,0.5,0.4,"
210,172000,1,1,710,"3410 De Reimer Ave APT 2I, Bronx, NY 10475",https://www.zillow.com/homedetails/3410-De-Reimer-Ave-APT-2I-Bronx-NY-10475/244442708_zpid/,Cooperative,1968,"Assigned, Detached","Natural Gas, Hot Water",$759 monthly,$242 ,$670/mo,$0/mo,$136/mo,$60/mo,"-Ps 111 Seton Falls,-Baychester Middle School,-Harry S Truman High School,","0.4,0.4,0.3,"
211,939500,4,2,2210,"61-17 56th Dr, Maspeth, NY 11378",https://www.zillow.com/homedetails/61-17-56th-Dr-Maspeth-NY-11378/2073818619_zpid/,SingleFamily,1925,"Shared Driveway, Detached","Natural Gas, Steam",0.05 Acres,$425 ,"$3,196/mo",$0/mo,$658/mo,$329/mo,"-Ps 153 Maspeth,-Is 73 The Frank Sansivieri Intermediate School,-Grover Cleveland H.S.,","0.6,0.9,0.3,"
212,549000,3,3,NA,"171st Pl, Jamaica, NY 11433",https://www.zillow.com/homedetails/105-37-171st-Pl-Jamaica-NY-11433/2073819343_zpid/,SingleFamily,1920,None,No Data,0.05 Acres,,,,,,"-Ps Is 116 William C Hughley,-Eagle Academy for Young Men III,","0.3,0.3,"
213,3950000,4,4,2880,"192 Washington Ave, Brooklyn, NY 11205",https://www.zillow.com/homedetails/192-Washington-Ave-Brooklyn-NY-11205/30612076_zpid/,Townhouse,1901,Covered,No Data,"1,608 sqft","$1,372 ","$13,391/mo",$0/mo,"$2,140/mo","$1,383/mo","-Urban Assembly Academy Of Arts And Letters,-Benjamin Banneker Academy,","0.9,0.6,"
214,14700000,8,10,6565,"33 E 70th St, New York, NY 10021",https://www.zillow.com/homedetails/33-E-70th-St-New-York-NY-10021/80005103_zpid/,Cooperative,1928,Covered,No Data,"$9,698 monthly","$2,239 ","$49,835/mo",$0/mo,"$10,780/mo","$5,145/mo","-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
215,295000,"Studio,",1,305,"25 Tudor City Pl APT 1409, New York, NY 10017",https://www.zillow.com/homedetails/25-Tudor-City-Pl-APT-1409-New-York-NY-10017/84079763_zpid/,Cooperative,1928,0 spaces,No Data,"$1,011 monthly",$967 ,"$1,074/mo",$0/mo,$216/mo,$103/mo,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
216,825000,8,4,2946,"233 Cuba Ave, Staten Island, NY 10306",https://www.zillow.com/homedetails/233-Cuba-Ave-Staten-Island-NY-10306/32335023_zpid/,MultiFamily,2011,0 spaces,No Data,$280 ,,"$2,806/mo",$0/mo,$598/mo,$289/mo,"-Ps 41 New Dorp,-Is 2 George L Egbert,-New Dorp High School,","0.7,0.4,0.4,"
217,799999,4,4,2692,"244 Gaynor St, Staten Island, NY 10309",https://www.zillow.com/homedetails/244-Gaynor-St-Staten-Island-NY-10309/79745422_zpid/,MultiFamily,2006,"Carport, 2 Spaces, Attached Garage","Natural Gas, Solar, Baseboard",$297 ,,"$2,721/mo",$0/mo,$580/mo,$280/mo,"-Ps 6 Cpl Allan F Kivlehan School,-Is 34 Tottenville,-Tottenville High School,","0.7,1.0,0.5,"
218,1699000,6,2,2344,"18 Bay 11 St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/18-Bay-11-St-Brooklyn-NY-11228/2073805389_zpid/,MultiFamily,1930,"Shared Drive, 2 Spaces, Detached Garage","Natural Gas, Steam/Radiator",$725 ,,"$5,760/mo",$0/mo,$920/mo,$595/mo,"-Ps 229 Dyker,-New Utrecht High School,","0.9,0.4,"
219,1175000,6,4,3150,"7013 Veterans Ave, Brooklyn, NY 11234",https://www.zillow.com/homedetails/7013-Veterans-Ave-Brooklyn-NY-11234/2073821258_zpid/,MultiFamily,2011,0 spaces,No Data,$373 ,,"$3,983/mo",$0/mo,$636/mo,$411/mo,"-Ps 312 Bergen Beach,-Jhs 78 Roy H Mann,-James Madison High School,","0.6,0.5,0.4,"
220,375000,2,2,1200,"3850 Hudson Manor Ter APT 5HE, Bronx, NY 10463",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-5HE-Bronx-NY-10463/244424894_zpid/,Cooperative,1952,"Assigned, Garage, On Street, Waitlist","Natural Gas, Hot Water, Steam","$1,223 monthly",$313 ,"$1,365/mo",$0/mo,$297/mo,$131/mo,"-Ps 24 Spuyten Duyvil,-Riverdale Kingsbridge Academy (Ms High School 141),","1.0,0.5,"
221,1175000,6,4,3465,"7007 Veterans Ave, Brooklyn, NY 11234",https://www.zillow.com/homedetails/7007-Veterans-Ave-Brooklyn-NY-11234/94716208_zpid/,MultiFamily,2009,0 spaces,No Data,$339 ,,"$3,983/mo",$0/mo,$636/mo,$411/mo,"-Ps 312 Bergen Beach,-Jhs 78 Roy H Mann,-James Madison High School,","0.6,0.5,0.4,"
222,235000,2,1,900,"5645 Netherland Ave APT 3G, Bronx, NY 10471",https://www.zillow.com/homedetails/5645-Netherland-Ave-APT-3G-Bronx-NY-10471/2079265875_zpid/,Cooperative,No Data,0 spaces,No Data,$967 monthly,$261 ,$916/mo,$0/mo,$186/mo,$82/mo,"-Ps 81 Robert J Christen,-Riverdale Kingsbridge Academy (Ms High School 141),","0.7,0.5,"
223,995000,2,1,850,"68 E 93rd St APT 3R, New York, NY 10128",https://www.zillow.com/homedetails/68-E-93rd-St-APT-3R-New-York-NY-10128/72531023_zpid/,Cooperative,1890,0 spaces,No Data,"$1,605 monthly","$1,171 ",,,,,"-Ps 198 Isador E Ida Straus,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
224,425000,"Studio,",1,NA,"651 Vanderbilt St APT 5R, Brooklyn, NY 11218",https://www.zillow.com/homedetails/651-Vanderbilt-St-APT-5R-Brooklyn-NY-11218/79715060_zpid/,Cooperative,1963,0 spaces,No Data,$542 monthly,,"$1,547/mo",$0/mo,$230/mo,$149/mo,"-Ps 130 The Parkside,-Middle 839,-Secondary School For Journalism,","0.6,0.5,0.2,"
225,1200000,12,6,NA,"8644 123rd St, Richmond Hill, NY 11418",https://www.zillow.com/homedetails/8644-123rd-St-Richmond-Hill-NY-11418/2073822417_zpid/,MultiFamily,1930,"None, On Street","Natural Gas, Steam",,,"$4,068/mo",$0/mo,$840/mo,$420/mo,,
226,868000,3,3,NA,"69-29 175th St, Fresh Meadows, NY 11365",https://www.zillow.com/homedetails/69-29-175th-St-Fresh-Meadows-NY-11365/2073822418_zpid/,Townhouse,1950,"Shared Driveway, Private","Natural Gas, Hot Water",0.04 Acres,,"$2,952/mo",$0/mo,$608/mo,$304/mo,"-Ps 173 Fresh Meadow,-Jhs 216 George J Ryan,-Francis Lewis High School,","0.9,1.0,0.6,"
227,1950000,6,3,3215,"526 Mac Donough St, Brooklyn, NY 11233",https://www.zillow.com/homedetails/526-Mac-Donough-St-Brooklyn-NY-11233/2073822893_zpid/,MultiFamily,1901,0 spaces,No Data,$607 ,,"$6,611/mo",$0/mo,"$1,056/mo",$683/mo,"-Ps 308 Clara Cardwell,-Boys and Girls High School,","0.4,0.2,"
228,220000,1,1,506,"Beverly Rd, Kew Gardens, NY 11415",https://www.zillow.com/homedetails/84-51-Beverly-Rd-1S-Kew-Gardens-NY-11415/2079101727_zpid/,Cooperative,1941,0 spaces,Oil,$605 monthly,$435 ,,,,,"-Ps 99 Kew Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,","0.9,0.7,0.4,"
229,420000,1,1,1200,"2121 Shore Pkwy APT 2D, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2121-Shore-Pkwy-APT-2D-Brooklyn-NY-11214/30732059_zpid/,Condo,1963,0 spaces,No Data,$450 monthly,$350 ,"$1,529/mo",$0/mo,$228/mo,$147/mo,"-Ps 212 Lady Deborah Moody,-Is 281 Joseph B Cavallaro,-Abraham Lincoln High School,","0.7,0.9,0.4,"
230,365000,1,1,350,"508 E 78th St APT 1M, New York, NY 10075",https://www.zillow.com/homedetails/508-E-78th-St-APT-1M-New-York-NY-10075/79505176_zpid/,Cooperative,1910,"None, Covered",No Data,"$1,084 monthly","$1,043 ",,,,,"-P.S. 158 Baylard Taylor,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.8,0.3,0.9,"
231,644800,3,2,1302,"25A Cove Ln, Brooklyn, NY 11234",https://www.zillow.com/homedetails/25A-Cove-Ln-Brooklyn-NY-11234/2073823705_zpid/,Condo,1997,Covered,No Data,$385 monthly,$495 ,"$2,193/mo",$0/mo,$349/mo,$226/mo,"-Ps 312 Bergen Beach,-Jhs 78 Roy H Mann,-James Madison High School,","0.6,0.5,0.4,"
232,699000,1,1,700,"106-20 70th Ave #6-B, Forest Hills, NY 11375",https://www.zillow.com/homedetails/106-20-70th-Ave-6-B-Forest-Hills-NY-11375/2075243269_zpid/,Condo,2010,0 spaces,Electric,$200 monthly,$999 ,"$2,378/mo",$0/mo,$489/mo,$245/mo,"-Ps 144 Col Jeromus Remsen,-Jhs 190 Russell Sage,-Hillcrest High School,","0.8,0.7,0.4,"
233,998000,3,2,2000,"65 Avenue, Rego Park, NY 11374",https://www.zillow.com/homedetails/65-Avenue-Rego-Park-NY-11374/2125029654_zpid/,SingleFamily,1940,"None, Attached, Driveway","Natural Gas, Hot Water, Steam",0.05 Acres,$499 ,"$3,383/mo",$0/mo,$699/mo,$349/mo,"-Ps 174 William Sidney Mount,-Jhs 190 Russell Sage,-Queens Metropolitan High School,","0.8,0.7,0.6,"
234,1199000,"-- bds,",5,3840,"337 Legion St, Brooklyn, NY 11212",https://www.zillow.com/homedetails/337-Legion-St-Brooklyn-NY-11212/30632811_zpid/,MultiFamily,No Data,"Other, 3 Spaces, Detached Garage, Parking Area","Natural Gas, Hot Water, Steam/Radiator",$312 ,,"$4,065/mo",$0/mo,$649/mo,$420/mo,"-Ps 41 Francis White,-Frederick Douglas Academy Vii High School,","0.5,0.4,"
235,599000,1,1,675,"230 Jay St APT 6F, Brooklyn, NY 11201",https://www.zillow.com/homedetails/230-Jay-St-APT-6F-Brooklyn-NY-11201/250366299_zpid/,Cooperative,No Data,0 spaces,No Data,"$1,150 monthly",$887 ,,,,,"-Ps 8 Robert Fulton,-The Urban Assembly School Of Music And Art At Wate,","0.8,0.2,"
236,5995000,2,2,1515,"155 W 11th St #10D, New York, NY 10011",https://www.zillow.com/homedetails/155-W-11th-St-10D-New-York-NY-10011/219646118_zpid/,Condo,2013,None,No Data,"$2,732 monthly","$3,957 ","$20,324/mo",$0/mo,"$4,396/mo","$2,098/mo","-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.9,0.6,0.9,"
237,1200000,2,1,480,"117 Piave Ave #1, Staten Island, NY 10305",https://www.zillow.com/homedetails/117-Piave-Ave-1-Staten-Island-NY-10305/2073825101_zpid/,MultiFamily,1930,0 spaces,No Data,"$2,500 ",,"$4,068/mo",$0/mo,$870/mo,$420/mo,"-Ps 39 Francis J Murphy Jr,-Is 49 Bertha A Dreyfus,-Curtis High School,","0.6,0.3,0.3,"
238,1750000,4,4,1970,"283 19th St, Brooklyn, NY 11215",https://www.zillow.com/homedetails/283-19th-St-Brooklyn-NY-11215/30580383_zpid/,MultiFamily,1899,0 spaces,No Data,$888 ,,"$5,933/mo",$0/mo,$948/mo,$613/mo,"-Ps 295,-New Voices School Of Academic And Creative Arts,-Secondary School For Law,","0.8,1.0,0.4,"
239,1195000,2,2,1305,"300 E 59th St APT 506, New York, NY 10022",https://www.zillow.com/homedetails/300-E-59th-St-APT-506-New-York-NY-10022/114442270_zpid/,Cooperative,1974,0 spaces,No Data,"$2,335 monthly",$916 ,"$4,051/mo",$0/mo,$876/mo,$418/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
240,825000,2,1,702,"630 1st Ave APT 16A, New York, NY 10016",https://www.zillow.com/homedetails/630-1st-Ave-APT-16A-New-York-NY-10016/31511311_zpid/,Condo,1984,Garage - Attached,No Data,$889 monthly,"$1,175 ","$2,806/mo",$0/mo,$605/mo,$289/mo,"-River School (The),-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.9,0.3,0.9,"
241,1195000,2,2,1305,"300 E 59th St APT 506, New York, NY 10022",https://www.zillow.com/homedetails/300-E-59th-St-APT-506-New-York-NY-10022/114442270_zpid/,Cooperative,1974,0 spaces,No Data,"$2,335 monthly",$916 ,"$4,051/mo",$0/mo,$876/mo,$418/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
242,829000,1,1,NA,"11 W 69th St APT 8D, New York, NY 10023",https://www.zillow.com/homedetails/11-W-69th-St-APT-8D-New-York-NY-10023/72520147_zpid/,Cooperative,1928,0 spaces,No Data,"$1,838 monthly",,"$2,820/mo",$0/mo,$608/mo,$290/mo,"-Special Music School,","0.9,"
243,235000,1,1,550,"195-22 39th Ave #A, Flushing, NY 11358",https://www.zillow.com/homedetails/195-22-39th-Ave-A-Flushing-NY-11358/2078806329_zpid/,,,,,,,,,,,"-Ps 32 State Street,-World Journalism Preparatory  A College Board School,","0.7,0.6,"
244,898000,2,3,NA,"41-13 57th St, Woodside, NY 11377",https://www.zillow.com/homedetails/41-13-57th-St-Woodside-NY-11377/2076902099_zpid/,MultiFamily,1901,"Private, Driveway","Natural Gas, Baseboard",,,"$3,054/mo",$0/mo,$629/mo,$314/mo,"-Ps 11 Kathryn Phelan,-Is 10 Horace Greeley,-William Cullen Bryant High School,","0.8,0.8,0.3,"
245,399000,2,2,1260,"70 Clark Ln #A, Staten Island, NY 10304",https://www.zillow.com/homedetails/70-Clark-Ln-A-Staten-Island-NY-10304/32285916_zpid/,Condo,1989,"No Garage, Assigned, Off Street","Hot Water, Natural Gas",$100 monthly,$317 ,"$1,452/mo",$0/mo,$289/mo,$140/mo,"-Ps 16 John J Driscoll,-Is 61 William A Morris,-Curtis High School,","0.2,0.5,0.3,"
