,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
15,1295000,4,4,2430,"2643 Hubbard St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2643-Hubbard-St-Brooklyn-NY-11235/30740350_zpid/,Condo,1930,0 spaces,No Data,"1,800 sqft",$533 ,"$4,390/mo",$0/mo,$701/mo,$453/mo,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,","0.9,0.4,"
16,499000,1,1,691,"2 S End Ave APT 3W, New York, NY 10280",https://www.zillow.com/homedetails/2-S-End-Ave-APT-3W-New-York-NY-10280/31492913_zpid/,Condo,1990,0 spaces,No Data,"$1,473 monthly",$722 ,"$1,817/mo",$0/mo,$366/mo,$175/mo,"-Ps 89,-Middle 297,-Nyc Lab High School For Collaborative Studies,","1.0,0.6,0.9,"
17,1100000,1,2,802,"310 W 52nd St APT 9A, New York, NY 10019",https://www.zillow.com/homedetails/310-W-52nd-St-APT-9A-New-York-NY-10019/80008541_zpid/,Condo,2005,0 spaces,No Data,$852 monthly,"$1,372 ","$3,729/mo",$0/mo,$807/mo,$385/mo,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
18,588000,1,1,650,"41-02 Queens Blvd #4E, Sunnyside, NY 11104",https://www.zillow.com/homedetails/41-02-Queens-Blvd-4E-Sunnyside-NY-11104/2073749386_zpid/,Condo,2006,0 spaces,No Data,$422 monthly,$905 ,"$2,000/mo",$0/mo,$412/mo,$206/mo,"-Children's Lab School (The),-Is 125 Thomas J Mccann Woodside,-Queens Technical High School,","0.8,0.8,0.4,"
19,799000,1,1,720,"107-24 71st Rd #7A, Forest Hills, NY 11375",https://www.zillow.com/homedetails/107-24-71st-Rd-7A-Forest-Hills-NY-11375/2073748956_zpid/,SingleFamily,2005,"Garage, Heated Garage","Natural Gas, Forced Air",$695 monthly,"$1,110 ","$2,718/mo",$0/mo,$559/mo,$280/mo,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,","0.9,0.7,0.4,"
20,829000,3,2,NA,"77-12 66th Rd, Middle Village, NY 11379",https://www.zillow.com/homedetails/77-12-66th-Rd-Middle-Village-NY-11379/2078232050_zpid/,Cooperative,1930,"Private, Detached, Driveway","Natural Gas, Steam",0.06 Acres,,"$2,820/mo",$0/mo,$580/mo,$290/mo,"-Ps 87 Middle Village,-Grover Cleveland H.S.,","0.6,0.3,"
21,359000,2,2,1000,"3395 Nostrand Ave APT 3, Brooklyn, NY 11229",https://www.zillow.com/homedetails/3395-Nostrand-Ave-APT-3-Brooklyn-NY-11229/2073750611_zpid/,Cooperative,1963,Garage - Attached,No Data,$763 monthly,$359 ,"$1,307/mo",$0/mo,$194/mo,$126/mo,"-Ps 206 Joseph F Lamb,-James Madison High School,","0.6,0.4,"
22,1650000,2,2,NA,"77 7th Ave APT 18F, New York, NY 10011",https://www.zillow.com/homedetails/77-7th-Ave-APT-18F-New-York-NY-10011/2077881550_zpid/,Condo,1963,0 spaces,No Data,"$1,899 monthly",,"$5,594/mo",$0/mo,"$1,210/mo",$578/mo,"-Ps 11 William T Harris,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
23,895000,2,1,825,"220 Manhattan Ave APT 2M, New York, NY 10025",https://www.zillow.com/homedetails/220-Manhattan-Ave-APT-2M-New-York-NY-10025/31550053_zpid/,Condo,1989,0 spaces,No Data,$555 monthly,"$1,085 ","$3,044/mo",$0/mo,$656/mo,$313/mo,"-Ps 165 Robert E Simon,-Wadleigh Secondary School for the Performing and Visual Arts,","0.5,0.4,"
24,1485000,2,2,1080,"27-21 44th Dr APT 603, Long Island City, NY 11101",https://www.zillow.com/homedetails/27-21-44th-Dr-APT-603-Long-Island-City-NY-11101/2073750612_zpid/,Cooperative,2017,0 spaces,No Data,"$1,011 monthly","$1,375 ","$5,034/mo",$0/mo,"$1,040/mo",$520/mo,"-P.S. 78,-Long Island City High School,","0.9,0.3,"
25,485000,"Studio,",1,525,"320 E 42nd St APT 410, New York, NY 10017",https://www.zillow.com/homedetails/320-E-42nd-St-APT-410-New-York-NY-10017/72525163_zpid/,Cooperative,1929,None,No Data,"$1,164 monthly",$924 ,"$1,766/mo",$0/mo,$356/mo,$170/mo,"-River School (The),-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.9,0.3,0.9,"
26,380000,2,1,600,"220th St, Oakland Gardens, NY 11364",https://www.zillow.com/homedetails/73-10-220th-St-Oakland-Gardens-NY-11364/2073750810_zpid/,Cooperative,1955,"Common, Parking Lot","Natural Gas, Steam",$633 ,,,,,,"-Ps 205 Alexander Graham Bell,-Jhs 74 Nathaniel Hawthorne,-Benjamin N Cardozo High School,","1.0,0.8,0.5,"
27,280000,1,1,1000,"282 E 35th St APT 5E, Brooklyn, NY 11203",https://www.zillow.com/homedetails/282-E-35th-St-APT-5E-Brooklyn-NY-11203/244996689_zpid/,SingleFamily,1957,"Garage, Garage - Attached",No Data,$685 monthly,$280 ,"$1,019/mo",$0/mo,$152/mo,$98/mo,"-Ps 181,-High School for Public Service-Heroes of Tomorrow,","0.6,0.5,"
28,929000,3,2,1300,"105-28 63rd Ave, Forest Hills, NY 11375",https://www.zillow.com/homedetails/105-28-63rd-Ave-Forest-Hills-NY-11375/2073753975_zpid/,SingleFamily,1940,0 spaces,No Data,No Data,$715 ,"$3,160/mo",$0/mo,$650/mo,$325/mo,"-Ps 220 Edward Mandel,-Jhs 157 Stephen A Halsey,-Forest Hills High School,","0.6,0.9,0.5,"
29,629888,3,2,NA,"8809 249th St, Jamaica, NY 11426",https://www.zillow.com/homedetails/8809-249th-St-Jamaica-NY-11426/32101756_zpid/,SingleFamily,1987,"Private, Driveway","Natural Gas, Baseboard",0.03 Acres,$405 ,"$2,142/mo",$0/mo,$441/mo,$220/mo,"-Ps 133,-Irwin Altman Middle School 172,-Martin Van Buren High School,","0.8,0.8,0.3,"
30,479000,3,2,1152,"3042 Coddington Ave, Bronx, NY 10461",https://www.zillow.com/homedetails/3042-Coddington-Ave-Bronx-NY-10461/29842082_zpid/,SingleFamily,1925,"Attached, Driveway","Natural Gas, Baseboard, Hot Water",0.04 Acres,$416 ,"$1,744/mo",$0/mo,$379/mo,$168/mo,"-Ps 71 Rose E Scala,-Herbert H Lehman High School,","0.7,0.2,"
31,799000,3,4,NA,"1306 E 69th St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1306-E-69th-St-Brooklyn-NY-11234/64565023_zpid/,SingleFamily,2005,Private,No Data,0.06 Acres,,"$2,718/mo",$0/mo,$433/mo,$280/mo,"-Ps 312 Bergen Beach,-Jhs 78 Roy H Mann,-James Madison High School,","0.6,0.5,0.4,"
32,1575000,4,3,2250,"231 73rd St #1, Brooklyn, NY 11209",https://www.zillow.com/homedetails/231-73rd-St-1-Brooklyn-NY-11209/2073752763_zpid/,Townhouse,1870,Garage - Detached,No Data,No Data,$700 ,"$5,339/mo",$0/mo,$853/mo,$551/mo,"-Ps 102 The Bayview,-Jhs 259 William Mckinley,-Fort Hamilton High School,","0.7,1.0,0.4,"
33,550000,4,2,1690,"907 E 224th St, Bronx, NY 10466",https://www.zillow.com/homedetails/907-E-224th-St-Bronx-NY-10466/29832897_zpid/,Condo,1960,"Garage, Garage - Attached",No Data,"2,625 sqft",$325 ,"$2,002/mo",$0/mo,$435/mo,$193/mo,"-Ps 21 Philip H Sheridan,-The Forward School,-New World High School,","0.2,0.2,0.3,"
34,950000,1,2,1080,"159 W 53rd St APT 20B, New York, NY 10019",https://www.zillow.com/homedetails/159-W-53rd-St-APT-20B-New-York-NY-10019/31512545_zpid/,SingleFamily,1968,0 spaces,No Data,"$1,190 monthly",$880 ,"$3,231/mo",$0/mo,$697/mo,$333/mo,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
35,1149000,4,3,1500,"144-24 68th Dr, Flushing, NY 11367",https://www.zillow.com/homedetails/144-24-68th-Dr-Flushing-NY-11367/2073789545_zpid/,Cooperative,1945,0 spaces,No Data,No Data,$766 ,"$3,895/mo",$0/mo,$804/mo,$402/mo,"-Ps 219 Paul Klapper,-John Bowne High School,","0.8,0.3,"
36,319000,2,1,800,"76-14 Springfield Blvd FLOOR 1, Oakland Gardens, NY 11364",https://www.zillow.com/homedetails/76-14-Springfield-Blvd-FLOOR-1-Oakland-Gardens-NY-11364/2075656415_zpid/,Cooperative,No Data,Off-street,No Data,$964 monthly,$399 ,"$1,161/mo",$0/mo,$223/mo,$112/mo,"-Ps 205 Alexander Graham Bell,-Jhs 74 Nathaniel Hawthorne,-Martin Van Buren High School,","1.0,0.8,0.3,"
37,299000,2,1,900,"2550 Olinville Ave APT 4K, Bronx, NY 10467",https://www.zillow.com/homedetails/2550-Olinville-Ave-APT-4K-Bronx-NY-10467/244458723_zpid/,Condo,1965,0 spaces,No Data,$851 monthly,$332 ,"$1,088/mo",$0/mo,$237/mo,$105/mo,"-Ps 96 Richard Rodgers,-Bronx Green Middle School,-Collegiate Institute For Math And Science,","0.3,0.6,0.5,"
38,2350000,2,2,1124,"135 W 52nd St APT 16E, New York, NY 10019",https://www.zillow.com/homedetails/135-W-52nd-St-APT-16E-New-York-NY-10019/219660020_zpid/,Cooperative,2016,0 spaces,Forced air,"$1,274 monthly","$2,091 ","$7,967/mo",$0/mo,"$1,723/mo",$823/mo,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
39,299000,1,1,600,"9031 Fort Hamilton Pkwy APT 2C, Brooklyn, NY 11209",https://www.zillow.com/homedetails/9031-Fort-Hamilton-Pkwy-APT-2C-Brooklyn-NY-11209/111711337_zpid/,MultiFamily,No Data,Other,No Data,$498 ,,"$1,088/mo",$0/mo,$162/mo,$105/mo,"-Ps Is 104 The Fort Hamilton School,-Fort Hamilton High School,","0.8,0.4,"
40,899999,6,2,NA,"110th Rd, Saint Albans, NY 11412",https://www.zillow.com/homedetails/190-24-110th-Rd-Saint-Albans-NY-11412/2073752873_zpid/,MultiFamily,1940,"Private, Detached","Natural Gas, Forced Air",,,"$3,061/mo",$0/mo,$630/mo,$315/mo,"-Ps 118 Lorraine Hansberry,-Is 192 The Linden,-Cambria Heights Academy,","0.2,0.3,0.4,"
41,889999,6,4,NA,"195th St, Saint Albans, NY 11412",https://www.zillow.com/homedetails/11712-195th-St-Saint-Albans-NY-11412/82785067_zpid/,MultiFamily,2007,"Private, Detached",Natural Gas,,,"$3,027/mo",$0/mo,$623/mo,$311/mo,"-Ps 36 St Albans School,-Is 59 Springfield Gardens,-Humanities And Arts Magnet High School,","0.2,0.5,0.3,"
