,0
0,"-Ps 81 Robert J Christen,-Riverdale Kingsbridge Academy (Ms High School 141),"
1,"-P.S. 527 East Side School-Social Actio,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
2,"-Ps 155,-Jhs 226 Virgil I Grisson,-John Adams High School,"
3,"-Ps 214,-Wings Academy,"
4,"-Ps 234 Independence School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
5,"-Ps 3 Charrette School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
6,"-Ps 198 Isador E Ida Straus,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
7,"-Ps 277 Gerritsen Beach,-Jhs 278 Marine Park,-James Madison High School,"
8,"-Ps 96,-Jhs 226 Virgil I Grisson,-John Adams High School,"
9,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,"
10,"-Ps 145 Andrew Jackson,-Is 347 School Of Humanities,-EBC High School for Public Service-Bushwick,"
11,"-Ps 121,-Jhs 8 Richard S Grossley,-Hillcrest High School,"
12,"-Ps 310 Marble Hill,-In Tech Academy Aka Ms High School 368,"
13,"-Ps 95 Eastwood,-Is 238 Susan B Anthony,-Cambria Heights Academy,"
14,"-P.S. 115 Glen Oaks,-Irwin Altman Middle School 172,-Martin Van Buren High School,"
15,"-Ps 140 The Eagle School,-Ms 301 Paul L Dunbar,-School for Tourism and Hospitality,"
16,"-Ps 92 Adrian Hegeman,-Medgar Evers College Preparatory School,"
17,"-Ps 234 Independence School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
18,"-Ps 41 Francis White,-Aspirations Diploma Plus High School,"
19,"-P.S. 158 Baylard Taylor,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
20,"-Ps 166 The Richard Rogers School Of The Arts And S,-Ms 243 Center School,-Innovation Diploma Plus,"
21,"-Ps 85 Judge Charles Vallone,-Is 141 The Steinway,-Long Island City High School,"
22,"-Ps 189 Lincoln Terrace,-Brownsville Academy High School,"
23,"-Ps 308 Clara Cardwell,-Boys and Girls High School,"
24,"-Ps 107 John W Kimball,-Park Slope Collegiate,"
25,"-Ps 305 Dr Peter Ray,-Satellite East Middle School,-Bedford Stuyvesant Prepretory High School,"
26,"-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
27,"-Ps 111 Adolph S Ochs,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
28,"-PS 149 Sojourner Truth,-Wadleigh Secondary School for the Performing and Visual Arts,"
29,"-Ps 166 The Richard Rogers School Of The Arts And S,-Ms 250 West Side Collaborative Middle School,-Innovation Diploma Plus,"
30,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
31,"-Ps 3 Charrette School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
32,"-Ps 111 Adolph S Ochs,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
33,"-Ps 213 The Carl Ullman School,-Jhs 74 Nathaniel Hawthorne,-Benjamin N Cardozo High School,"
34,"-P.S. 51 Elias Howe,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
35,"-Ps 198 Isador E Ida Straus,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
36,"-Ps 223 Lyndon B Johnson,-Jhs 226 Virgil I Grisson,-John Adams High School,"
37,"-Ps 139 Rego Park,-Jhs 190 Russell Sage,-Forest Hills High School,"
38,"-Ps 41 New Dorp,-Is 2 George L Egbert,-New Dorp High School,"
39,"-Ps 4 Maurice Wollin,-Is 75 Frank D Paulo,-Tottenville High School,"
40,"-Ps 105 The Bay School,-Acadey of Medical Technology - A College Board School,"
41,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
42,"-Ps 20 Port Richmond,-Is 51 Edwin Markham,-Susan E Wagner High School,"
43,"-Ps 299 Thomas Warren Field School,-Is 349 Math Science And Technology,-Bushwick Community High School,"
44,"-Ps 262 El Hajj Malik El Shabazz Elementary School,-Ps 308 Clara Cardwell,-Boys and Girls High School,"
45,"-Ps 89 Elmhurst,-Is 73 The Frank Sansivieri Intermediate School,-Newtown High School,"
46,"-Ps 11 Thomas Dongan School,-Is 2 George L Egbert,-New Dorp High School,"
47,"-P.S. 261 Philip Livingston,-The Math And Science Exploratory School,-Brooklyn Frontiers High School,"
48,"-Ps 160 Walter Francis Bishop,-Jhs 8 Richard S Grossley,-High School for Law Enforcement and Public Safety,"
49,"-Ps 208 Elsa Ebeling,-Is 285 Meyer Levin,-Kurt Hahn Expeditionary Learning School,"
50,"-Spruce Street School,-Nyc Lab High School For Collaborative Studies,"
51,"-Ps 99 Kew Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,"
52,"-Ps 136 Roy Wilkins,-Is 192 The Linden,-Humanities And Arts Magnet High School,"
53,"-Ps 81 Robert J Christen,-Riverdale Kingsbridge Academy (Ms High School 141),"
54,"-P.S. 78,-Long Island City High School,"
55,"-Ps 6 Lillie D Blake,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
56,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
57,"-Ps 165 Robert E Simon,-Edward A Reynolds West Side High School,"
58,"-Ps 165 Robert E Simon,-Edward A Reynolds West Side High School,"
59,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
