,0
0,"-Ps 70,-Is 10 Horace Greeley,-William Cullen Bryant High School,"
1,"-P.S. 34 Oliver H Perry,-Automotive High School,"
2,"-Ps 3 Charrette School,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
3,"-Ps 154,-I.S. 250 the Robert F Kennedy Community Middle School,-Queens School Of Inquiry,"
4,"-Ps 163 Flushing Heights,-Is 237,-John Bowne High School,"
5,"-Ps 13 M L Lindenmeyer,-Is 49 Bertha A Dreyfus,-Curtis High School,"
6,"-Ps 11 Kathryn Phelan,-Is 10 Horace Greeley,-William Cullen Bryant High School,"
7,"-Ps 44 Thomas C Brown,-Is 51 Edwin Markham,-Port Richmond High School,"
8,"-Ps 289 George V Brower,-Ps 138,-Academy for Health Careers,"
9,"-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
10,"-Ps 11 William T Harris,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
11,"-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
12,"-Ps 6 Lillie D Blake,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
13,"-P.S. 158 Baylard Taylor,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
14,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
15,"-Ps 140 Edward K Ellington,-Jhs 8 Richard S Grossley,-High School for Law Enforcement and Public Safety,"
16,"-Ps 29,-Jhs 194 William Carr,-Flushing High School,"
17,"-Ps 71 Rose E Scala,-Westchester Square Academy,"
18,"-Ps 93 Albert G Oliver,-Jhs 123 James M Kieran,-Felisa Rincon De Gautier Institute for Law and Public Policy,"
19,"-Ps 106 Parkchester,-Jhs 127 The Castle Hill,-Bronx High School For The Visual Arts,"
20,"-Ps 136 Roy Wilkins,-Is 192 The Linden,-Humanities And Arts Magnet High School,"
21,"-Ps Ms 42 R Vernam,-Acadey of Medical Technology - A College Board School,"
22,"-Ps 87,-Baychester Middle School,-New World High School,"
23,"-Ps 99 Kew Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,"
24,"-Ps 197 The Kings Highway Academy,-Jhs 234 Arthur W Cunningham,-James Madison High School,"
25,"-P.S. 261 Philip Livingston,-School For International Studies,"
26,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,"
27,"-Ps 113 Isaac Chauncey,-Newtown High School,"
28,"-P.S. 51 Elias Howe,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
29,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
30,"-Ps 93 William H Prescott,-Satellite East Middle School,-Brooklyn Academy High School,"
31,"-Ps 206 The Horace Harding School,-Jhs 157 Stephen A Halsey,-Forest Hills High School,"
32,"-River School (The),-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
33,"-P.S. 41 Greenwich Village,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
34,"-River School (The),-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
35,"-Ps 144 Col Jeromus Remsen,-Jhs 190 Russell Sage,-Hillcrest High School,"
36,"-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
37,"-Ps 15 Roberto Clemente,-East Side Community School,"
38,"-Ps 42 Eltingville,-Is 7 Elias Bernstein,-Tottenville High School,"
39,"-Ps 100 Glen Morris,-Jhs 226 Virgil I Grisson,-John Adams High School,"
40,"-Ps 221 The North Hills School,-Jhs 67 Louis Pasteur,-Benjamin N Cardozo High School,"
41,"-Ps 146 Howard Beach,-John Adams High School,"
42,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,"
43,"-Ps 52 John C Thompson,-Is 2 George L Egbert,-New Dorp High School,"
44,"-Ps 52,-Collaborative Arts Middle School,-Queens Preparatory Academy,"
45,"-Ps 273 Wortman,-Van Siclen Community Middle School,-Academy for Young Writers,"
46,"-Ps 129 Patricia Larkin,-Jhs 194 William Carr,-Flushing High School,"
47,"-Ps 71 Forest,-Is 93 Ridgewood,-Grover Cleveland H.S.,"
48,"-Ps 215 Morris H Weiss,-Is 228 David A Boody,-Abraham Lincoln High School,"
49,"-Ps 144 Col Jeromus Remsen,-Jhs 190 Russell Sage,-Hillcrest High School,"
50,"-Ps 49 Willis Avenue,-Hostos-Lincoln Academy of Science,"
51,"-Ps 15 Roberto Clemente,-East Side Community School,"
52,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
53,"-Ps 3 Charrette School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
54,"-P.S. 51 Elias Howe,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
55,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
56,"-Ps 171 Peter G Van Alst,-Albert Shanker School For Visual And Performing Ar,-Long Island City High School,"
57,"-Ps 208 Elsa Ebeling,-Is 285 Meyer Levin,-Kurt Hahn Expeditionary Learning School,"
58,"-Ps 144 Col Jeromus Remsen,-Jhs 190 Russell Sage,-Hillcrest High School,"
59,"-Ps 191 Amsterdam,-Fiorello H Laguardia High School of Music, Art and Performing Arts,"
