,0
511,2.0
512,2.0
513,4.0
514,1.0
515,5.0
516,9.0
517,1.0
518,6.0
519,2.0
520,2.0
521,5.0
522,4.0
523,"Studio,"
524,7.0
525,2.0
526,1.0
527,2.0
528,2.0
529,2.0
530,"-- bds,"
531,2.0
532,7.0
533,7.0
534,3.0
535,1.0
536,2.0
537,5.0
538,3.0
539,3.0
540,"Studio,"
541,2.0
542,3.0
543,2.0
544,"Studio,"
545,3.0
546,1.0
547,4.0
548,7.0
549,5.0
550,5.0
551,3.0
552,3.0
553,1.0
554,3.0
555,2.0
556,2.0
557,4.0
558,6.0
559,"Studio,"
560,1.0
561,10.0
562,9.0
563,2.0
564,6.0
565,6.0
566,2.0
567,3.0
568,2.0
569,1.0
570,1.0
571,2.0
572,"Studio,"
573,3.0
574,"Studio,"
575,4.0
576,2.0
577,3.0
578,1.0
579,2.0
580,3.0
581,1.0
582,4.0
583,6.0
584,0.2
585,1.0
586,4.0
587,2.0
588,4.0
589,3.0
590,3.0
591,2.0
592,6.0
593,4.0
594,1.0
595,6.0
596,2.0
597,"Studio,"
598,"Studio,"
599,2.0
600,5.0
601,2.0
602,11.0
603,2.0
604,1.0
605,11.0
606,4.0
607,1.0
608,4.0
609,0.9
610,2.0
611,1.0
612,5.0
613,2.0
614,3.0
615,4.0
616,3.0
617,2.0
618,2.0
619,"Studio,"
620,7.0
621,2.0
622,"Studio,"
623,2.0
624,3.0
625,1.0
626,2.0
627,15.0
628,1.0
629,1.0
630,3.0
631,1.0
632,2.0
633,1.0
634,8.0
635,3.0
636,12.0
637,4.0
638,3.0
639,2.0
640,"Studio,"
641,9.0
642,2.0
643,1.0
644,2.0
645,2.0
646,3.0
647,1.0
648,3.0
649,4.0
650,1.0
651,1.0
652,1.0
653,1.0
654,18.0
655,4.0
656,2.0
657,2.0
658,2.0
659,11.0
660,5.0
661,1.0
662,3.0
663,8.0
664,8.0
665,2.0
666,2.0
667,2.0
668,2.0
669,3.0
670,1.0
671,3.0
672,2.0
673,3.0
674,"Studio,"
675,6.0
676,2.0
677,1.0
678,1.0
679,1.0
680,2.0
681,3.0
682,1.0
683,5.0
684,1.0
685,1.0
686,2.0
687,3.0
688,3.0
689,2.0
690,5.0
691,3.0
692,"Studio,"
693,2.0
694,5.0
695,3.0
696,"Studio,"
697,1.0
698,2.0
699,8.0
700,6.0
701,6.0
702,2.0
703,"-- bds,"
704,1.0
705,1.0
706,2.0
707,4.0
708,5.0
709,6.0
710,3.0
711,3.0
712,2.0
713,3.0
714,1.0
715,2.0
716,1.0
717,"Studio,"
718,1.0
719,2.0
720,1.0
721,6.0
722,10.0
723,4.0
724,1.0
725,3.0
726,"Studio,"
727,3.0
728,3.0
729,1.0
730,1.0
731,4.0
732,2.0
733,3.0
734,3.0
735,1.0
736,1.0
737,7.0
738,3.0
739,4.0
740,6.0
741,1.0
742,3.0
743,2.0
744,2.0
745,2.0
746,1.0
747,"-- bds,"
748,2.0
749,3.0
750,8.0
751,1.0
752,2.0
753,1.0
754,3.0
755,4.0
756,"Studio,"
757,2.0
758,4.0
759,3.0
760,1.0
761,1.0
762,3.0
763,6.0
764,3.0
765,6.0
766,2.0
767,3.0
768,1.0
769,1.0
770,3.0
771,4.0
772,1.0
773,3.0
774,4.0
