,0
0,"$4,068/mo"
1,"$2,037/mo"
2,"$2,378/mo"
3,"$2,704/mo"
4,"$2,207/mo"
5,"$1,183/mo"
6,"$1,489/mo"
7,"$3,729/mo"
8,"$2,037/mo"
9,"$2,480/mo"
10,
11,"$4,912/mo"
12,"$5,255/mo"
13,"$3,882/mo"
14,"$7,289/mo"
15,"$2,612/mo"
16,"$2,820/mo"
17,"$1,238/mo"
18,"$1,256/mo"
19,"$1,565/mo"
20,"$1,958/mo"
21,$584/mo
22,"$6,424/mo"
23,"$4,844/mo"
24,"$3,475/mo"
25,"$2,820/mo"
26,"$3,228/mo"
27,"$2,037/mo"
28,"$2,718/mo"
29,"$5,000/mo"
30,"$2,206/mo"
31,"$1,238/mo"
32,$946/mo
33,"$3,644/mo"
34,"$4,844/mo"
35,"$4,068/mo"
36,"$1,256/mo"
37,"$6,611/mo"
38,$779/mo
39,$931/mo
40,$931/mo
41,"$1,857/mo"
42,"$1,161/mo"
43,"$2,993/mo"
44,"$3,160/mo"
45,"$2,582/mo"
46,"$5,356/mo"
47,
48,"$5,929/mo"
49,"$3,288/mo"
50,"$3,231/mo"
51,"$7,441/mo"
52,"$2,364/mo"
53,"$3,729/mo"
54,"$13,221/mo"
55,"$7,119/mo"
56,"$1,956/mo"
57,$916/mo
58,"$1,820/mo"
59,
