,0
0,$963/mo
1,"$1,181/mo"
2,"$3,239/mo"
3,"$3,661/mo"
4,"$1,813/mo"
5,"$2,380/mo"
6,"$4,153/mo"
7,"$23,731/mo"
8,"$2,111/mo"
9,"$2,724/mo"
10,"$2,724/mo"
11,"$8,475/mo"
12,"$1,435/mo"
13,"$13,544/mo"
14,"$2,216/mo"
15,"$1,971/mo"
16,"$1,595/mo"
17,"$1,999/mo"
18,"$1,780/mo"
19,$917/mo
20,"$1,119/mo"
21,"$1,526/mo"
22,"$2,216/mo"
23,"$7,492/mo"
24,"$5,594/mo"
25,"$5,594/mo"
26,"$2,861/mo"
27,"$2,042/mo"
28,"$1,763/mo"
29,
30,"$5,421/mo"
31,
32,"$1,308/mo"
33,"$3,236/mo"
34,"$4,746/mo"
35,"$2,898/mo"
36,
37,"$2,554/mo"
38,"$6,424/mo"
39,"$1,039/mo"
40,$898/mo
41,"$1,305/mo"
42,"$1,090/mo"
43,"$2,724/mo"
44,"$3,069/mo"
45,"$1,341/mo"
46,"$2,463/mo"
47,"$1,308/mo"
48,"$3,285/mo"
49,"$4,746/mo"
50,"$1,668/mo"
51,"$1,305/mo"
52,"$1,817/mo"
53,"$1,617/mo"
54,"$1,998/mo"
55,$978/mo
56,$933/mo
57,"$2,895/mo"
58,$941/mo
59,"$4,068/mo"
