,0
0,"$4,025/mo"
1,$446/mo
2,$255/mo
3,$98/mo
4,$105/mo
5,$333/mo
6,$290/mo
7,$63/mo
8,$185/mo
9,"$4,025/mo"
10,$280/mo
11,$140/mo
12,$245/mo
13,$35/mo
14,
15,$545/mo
16,$175/mo
17,$213/mo
18,$224/mo
19,$126/mo
20,$252/mo
21,$271/mo
22,
23,$156/mo
24,$182/mo
25,$315/mo
26,$348/mo
27,"$1,155/mo"
28,$385/mo
29,$149/mo
30,$557/mo
31,$252/mo
32,
33,$208/mo
34,$630/mo
35,"$1,750/mo"
36,$350/mo
37,$346/mo
38,$311/mo
39,$255/mo
40,$69/mo
41,$595/mo
42,$98/mo
43,$184/mo
44,$220/mo
45,$98/mo
46,$700/mo
47,$383/mo
48,"$2,168/mo"
49,$262/mo
50,$180/mo
51,$297/mo
52,$206/mo
53,$199/mo
54,
55,$697/mo
56,$523/mo
57,$593/mo
58,$192/mo
59,"$4,410/mo"
