,0
0,$289/mo
1,$418/mo
2,$290/mo
3,
4,$314/mo
5,$140/mo
6,$648/mo
7,$516/mo
8,$329/mo
9,$122/mo
10,$49/mo
11,$349/mo
12,$280/mo
13,"$4,200/mo"
14,$574/mo
15,$89/mo
16,$595/mo
17,$140/mo
18,"$1,628/mo"
19,$140/mo
20,$525/mo
21,$172/mo
22,$138/mo
23,
24,$294/mo
25,$333/mo
26,$173/mo
27,$508/mo
28,$455/mo
29,$263/mo
30,$115/mo
31,$345/mo
32,$448/mo
33,
34,$301/mo
35,$297/mo
36,$93/mo
37,$348/mo
38,$154/mo
39,$170/mo
40,$207/mo
41,$234/mo
42,$238/mo
43,$280/mo
44,$308/mo
45,$179/mo
46,$128/mo
47,$305/mo
48,$243/mo
49,"$1,015/mo"
50,$201/mo
51,$96/mo
52,$385/mo
53,$125/mo
54,$350/mo
55,$858/mo
56,$196/mo
57,$770/mo
58,$221/mo
59,
