,0
0,"$1,033/mo"
1,$698/mo
2,$122/mo
3,$341/mo
4,$453/mo
5,$385/mo
6,$175/mo
7,"$1,033/mo"
8,"$1,383/mo"
9,$115/mo
10,$152/mo
11,$122/mo
12,$698/mo
13,$621/mo
14,"$1,698/mo"
15,$311/mo
16,$329/mo
17,$798/mo
18,$296/mo
19,$96/mo
20,"$5,513/mo"
21,$385/mo
22,$308/mo
23,$238/mo
24,
25,$184/mo
26,$452/mo
27,"$1,103/mo"
28,"$1,048/mo"
29,$303/mo
30,$227/mo
31,$343/mo
32,$735/mo
33,$68/mo
34,
35,$478/mo
36,"$1,575/mo"
37,$192/mo
38,$350/mo
39,$133/mo
40,$126/mo
41,$343/mo
42,$700/mo
43,$508/mo
44,$140/mo
45,"$2,065/mo"
46,$206/mo
47,"$5,583/mo"
48,$262/mo
49,"$1,433/mo"
50,$245/mo
51,$222/mo
52,$473/mo
53,$280/mo
54,$525/mo
55,$87/mo
56,$40/mo
57,$101/mo
58,
59,$77/mo
