,0
0,"$1,243/mo"
1,$259/mo
2,"$1,144/mo"
3,"$2,486/mo"
4,$385/mo
5,$144/mo
6,$770/mo
7,$645/mo
8,$483/mo
9,$731/mo
10,$733/mo
11,$608/mo
12,$528/mo
13,"$2,479/mo"
14,"$2,563/mo"
15,"$4,250/mo"
16,$385/mo
17,$458/mo
18,$489/mo
19,$245/mo
20,$756/mo
21,$507/mo
22,$279/mo
23,$731/mo
24,$301/mo
25,$412/mo
26,"$2,347/mo"
27,$847/mo
28,$210/mo
29,$659/mo
30,$256/mo
31,
32,$164/mo
33,$307/mo
34,$70/mo
35,"$1,112/mo"
36,$831/mo
37,$179/mo
38,$673/mo
39,$308/mo
40,"$4,613/mo"
41,$487/mo
42,"$5,280/mo"
43,$167/mo
44,$593/mo
45,$203/mo
46,$659/mo
47,$349/mo
48,$228/mo
49,"$1,540/mo"
50,"$1,354/mo"
51,$198/mo
52,"$1,188/mo"
53,$594/mo
54,"$1,504/mo"
55,$229/mo
56,$810/mo
57,$974/mo
58,"$2,383/mo"
59,"$1,687/mo"
