,0
0,"$3,687/mo"
1,"$2,721/mo"
2,"$2,229/mo"
3,"$4,824/mo"
4,"$55,350/mo"
5,"$4,864/mo"
6,"$6,626/mo"
7,"$5,361/mo"
8,"$3,439/mo"
9,"$13,251/mo"
10,"$4,022/mo"
11,"$16,438/mo"
12,"$3,942/mo"
13,"$3,271/mo"
14,$732/mo
15,"$3,522/mo"
16,"$4,411/mo"
17,"$1,943/mo"
18,"$1,295/mo"
19,"$2,800/mo"
20,"$4,193/mo"
21,"$70,114/mo"
22,"$2,153/mo"
23,"$3,192/mo"
24,"$4,224/mo"
25,"$4,110/mo"
26,$973/mo
27,"$2,372/mo"
28,"$1,624/mo"
29,"$1,776/mo"
30,"$29,183/mo"
31,"$3,415/mo"
32,$502/mo
33,"$1,846/mo"
34,"$3,653/mo"
35,"$2,696/mo"
36,"$3,351/mo"
37,"$2,261/mo"
38,"$13,083/mo"
39,"$9,058/mo"
