,0
0,"$38,579/mo"
1,"$4,277/mo"
2,"$2,620/mo"
3,"$1,036/mo"
4,"$1,109/mo"
5,"$3,415/mo"
6,"$2,976/mo"
7,$697/mo
8,"$1,958/mo"
9,"$38,576/mo"
10,"$2,872/mo"
11,"$1,476/mo"
12,"$2,513/mo"
13,$392/mo
14,
15,"$5,227/mo"
16,"$1,846/mo"
17,"$2,189/mo"
18,"$2,297/mo"
19,"$1,332/mo"
20,"$2,588/mo"
21,"$2,786/mo"
22,
23,"$1,647/mo"
24,"$1,921/mo"
25,"$3,232/mo"
26,"$3,338/mo"
27,"$11,071/mo"
28,"$3,690/mo"
29,"$1,573/mo"
30,"$5,334/mo"
31,"$2,585/mo"
32,
33,"$2,139/mo"
34,"$6,035/mo"
35,"$16,774/mo"
36,"$3,355/mo"
37,"$3,314/mo"
38,"$3,196/mo"
39,"$2,624/mo"
40,$771/mo
41,"$5,703/mo"
42,"$1,032/mo"
43,"$1,943/mo"
44,"$2,264/mo"
45,"$1,032/mo"
46,"$6,709/mo"
47,"$3,673/mo"
48,"$20,783/mo"
49,"$2,692/mo"
50,"$1,906/mo"
51,"$3,052/mo"
52,"$2,117/mo"
53,"$2,045/mo"
54,
55,"$6,676/mo"
56,"$5,015/mo"
57,"$5,686/mo"
58,"$2,032/mo"
59,"$42,270/mo"
