,0
0,"$1,161/mo"
1,"$1,956/mo"
2,$545/mo
3,"$4,492/mo"
4,"$1,493/mo"
5,"$1,999/mo"
6,"$3,349/mo"
7,"$2,884/mo"
8,"$2,786/mo"
9,"$2,056/mo"
10,"$1,999/mo"
11,"$3,729/mo"
12,"$1,161/mo"
13,
14,"$3,044/mo"
15,"$3,305/mo"
16,"$2,891/mo"
17,"$1,201/mo"
18,"$3,285/mo"
19,"$14,238/mo"
20,"$4,390/mo"
21,"$8,458/mo"
22,"$5,082/mo"
23,"$1,245/mo"
24,"$1,088/mo"
25,"$1,783/mo"
26,"$5,082/mo"
27,"$2,245/mo"
28,"$2,245/mo"
29,"$2,551/mo"
30,$670/mo
31,"$3,196/mo"
32,
33,"$13,391/mo"
34,"$49,835/mo"
35,"$1,074/mo"
36,"$2,806/mo"
37,"$2,721/mo"
38,"$5,760/mo"
39,"$3,983/mo"
40,"$1,365/mo"
41,"$3,983/mo"
42,$916/mo
43,
44,"$1,547/mo"
45,"$4,068/mo"
46,"$2,952/mo"
47,"$6,611/mo"
48,
49,"$1,529/mo"
50,
51,"$2,193/mo"
52,"$2,378/mo"
53,"$3,383/mo"
54,"$4,065/mo"
55,
56,"$20,324/mo"
57,"$4,068/mo"
58,"$5,933/mo"
59,"$4,051/mo"
