,0
0,
1,
2,$860
3,
4,
5,
6,$521
7,$431
8,
9,$350
10,
11,"$1,196"
12,
13,$658
14,"$1,944"
15,
16,
17,
18,
19,"$1,900"
20,
21,
22,
23,
24,
25,$388
26,$258
27,"$1,136"
28,
29,
30,$367
31,
32,
33,"$1,577"
34,$527
35,
36,$730
37,$6
38,$2
39,$884
40,
41,"$1,055"
42,$224
43,"$1,872"
44,
45,
46,$684
47,
48,"$1,911"
49,$718
50,
51,
52,$445
53,"$1,514"
54,$632
55,
56,
57,"$1,165"
58,
59,
