,0
0,"$5,144/mo"
1,"$5,803/mo"
2,"$20,168/mo"
3,"$5,077/mo"
4,"$2,929/mo"
5,"$1,458/mo"
6,"$1,096/mo"
7,"$1,644/mo"
8,"$2,367/mo"
9,"$1,918/mo"
10,"$27,923/mo"
11,"$3,684/mo"
12,"$6,560/mo"
13,"$2,381/mo"
14,"$8,915/mo"
15,"$1,680/mo"
16,"$5,635/mo"
17,"$2,108/mo"
18,"$1,151/mo"
19,$772/mo
20,"$2,044/mo"
21,"$2,333/mo"
22,"$2,653/mo"
23,"$1,370/mo"
24,"$4,542/mo"
25,"$4,996/mo"
26,"$1,461/mo"
27,"$2,718/mo"
28,"$10,934/mo"
29,"$8,057/mo"
30,"$17,157/mo"
31,"$1,275/mo"
32,"$1,169/mo"
33,"$24,222/mo"
34,"$1,607/mo"
35,$962/mo
36,"$2,980/mo"
37,"$2,725/mo"
38,"$2,040/mo"
39,
40,"$1,092/mo"
41,"$1,406/mo"
42,$729/mo
43,"$1,461/mo"
44,"$2,708/mo"
45,$892/mo
46,"$2,333/mo"
47,"$4,373/mo"
48,"$5,988/mo"
49,"$1,187/mo"
50,"$37,006/mo"
51,"$2,211/mo"
52,"$1,169/mo"
53,"$4,205/mo"
54,"$10,086/mo"
55,"$1,954/mo"
56,"$2,040/mo"
57,"$2,009/mo"
58,"$1,165/mo"
59,"$20,185/mo"
