,0
0,"$9,924/mo"
1,"$6,712/mo"
2,"$1,271/mo"
3,"$3,280/mo"
4,"$4,357/mo"
5,"$3,697/mo"
6,"$1,815/mo"
7,"$9,924/mo"
8,"$13,289/mo"
9,"$1,197/mo"
10,"$1,582/mo"
11,"$1,270/mo"
12,"$6,712/mo"
13,"$5,971/mo"
14,"$16,316/mo"
15,"$3,026/mo"
16,"$3,198/mo"
17,"$7,667/mo"
18,"$2,876/mo"
19,"$1,000/mo"
20,"$52,986/mo"
21,"$3,701/mo"
22,"$2,995/mo"
23,"$2,311/mo"
24,
25,"$1,910/mo"
26,"$4,340/mo"
27,"$10,597/mo"
28,"$10,076/mo"
29,"$2,946/mo"
30,"$2,214/mo"
31,"$3,294/mo"
32,"$7,065/mo"
33,$756/mo
34,
35,"$4,592/mo"
36,"$15,139/mo"
37,"$2,005/mo"
38,"$3,361/mo"
39,"$1,388/mo"
40,"$1,311/mo"
41,"$3,297/mo"
42,"$6,728/mo"
43,"$4,878/mo"
44,"$1,461/mo"
45,"$19,849/mo"
46,"$2,006/mo"
47,"$53,659/mo"
48,"$2,551/mo"
49,"$13,776/mo"
50,"$2,381/mo"
51,"$2,163/mo"
52,"$4,542/mo"
53,"$2,725/mo"
54,"$5,046/mo"
55,$970/mo
56,$446/mo
57,"$1,059/mo"
58,
59,$849/mo
