,0
0,"$5,686/mo"
1,"$1,347/mo"
2,"$5,233/mo"
3,"$11,373/mo"
4,"$2,003/mo"
5,$965/mo
6,"$3,690/mo"
7,"$3,031/mo"
8,"$2,247/mo"
9,"$4,529/mo"
10,"$3,351/mo"
11,"$2,963/mo"
12,"$2,455/mo"
13,"$11,339/mo"
14,"$11,725/mo"
15,"$19,441/mo"
16,"$1,912/mo"
17,"$2,131/mo"
18,"$2,383/mo"
19,"$1,274/mo"
20,"$4,680/mo"
21,"$2,383/mo"
22,"$1,453/mo"
23,"$4,526/mo"
24,"$1,566/mo"
25,"$2,008/mo"
26,"$10,735/mo"
27,"$3,590/mo"
28,$965/mo
29,"$3,065/mo"
30,"$1,271/mo"
31,
32,$806/mo
33,"$1,598/mo"
34,$345/mo
35,"$5,331/mo"
36,"$3,522/mo"
37,"$1,202/mo"
38,"$2,898/mo"
39,"$1,547/mo"
40,"$21,101/mo"
41,"$3,065/mo"
42,"$24,154/mo"
43,$931/mo
44,"$3,673/mo"
45,"$1,365/mo"
46,"$3,065/mo"
47,"$1,817/mo"
48,"$1,529/mo"
49,"$7,045/mo"
50,"$8,387/mo"
51,$974/mo
52,"$5,032/mo"
53,"$2,557/mo"
54,"$6,374/mo"
55,"$1,052/mo"
56,"$5,015/mo"
57,"$6,032/mo"
58,"$10,903/mo"
59,"$7,716/mo"
