,0
0,"0.3,0.8,"
1,"0.3,0.9,"
2,"1.0,0.5,"
3,"0.9,0.3,0.9,"
4,"0.7,0.7,0.2,"
5,"0.5,0.5,"
6,"0.4,0.2,"
7,"0.7,0.3,0.9,"
8,"1.0,0.3,0.9,"
9,"1.0,0.5,0.4,"
10,"0.8,0.6,0.4,"
11,"0.8,0.3,"
12,"0.4,0.2,"
13,"0.9,"
14,"1.0,0.3,0.9,"
15,"0.9,0.3,"
16,"0.4,0.3,"
17,"0.5,0.8,0.3,"
18,"0.7,0.4,0.4,"
19,NA
20,"1.0,0.9,"
21,"1.0,0.3,0.9,"
22,"1.0,0.3,0.9,"
23,"0.7,0.4,0.3,"
24,"0.8,0.8,0.3,"
25,"0.5,0.7,0.3,"
26,"0.6,0.4,0.3,"
27,"0.8,0.9,"
28,"0.1,0.4,"
29,"0.5,0.1,"
30,"0.8,0.3,0.9,"
31,"0.5,0.7,0.2,"
32,"0.8,0.8,0.3,"
33,"0.8,0.4,"
34,"1.0,0.9,0.5,"
35,"0.3,0.3,"
36,"1.0,0.3,0.9,"
37,"0.6,1.0,0.3,"
38,"0.7,0.7,0.3,"
39,"0.6,0.6,0.4,"
40,"0.9,0.4,"
41,"0.3,0.8,0.1,"
42,"1.0,0.9,0.2,"
43,"0.6,0.6,0.9,"
44,"0.7,0.3,0.9,"
45,"0.9,0.6,"
46,"1.0,0.3,0.9,"
47,"0.9,0.6,0.9,"
48,"0.7,0.3,0.9,"
49,"0.7,0.3,0.9,"
50,"0.3,0.3,0.4,"
51,"0.5,0.5,0.3,"
52,"0.7,0.4,0.2,"
53,"1.0,0.9,"
54,"0.7,0.3,0.9,"
55,"0.6,0.6,0.4,"
56,"0.3,0.4,0.4,"
57,"0.8,0.8,0.3,"
58,"0.9,0.3,0.4,"
59,"0.9,0.6,0.2,"
